Company,Year,Stores_Worldwide,Employees,Revenue_Million_USD,Systemwide_Sales_Million_USD,Country_HQ,Founded
McDonald's,2015,36525,420000,25413,88500,USA,1955
McDonald's,2016,36899,235000,24622,92200,USA,1955
McDonald's,2017,37241,235000,22820,96500,USA,1955
McDonald's,2018,37855,210000,21025,101400,USA,1955
McDonald's,2019,38695,205000,21076,108200,USA,1955
McDonald's,2020,39198,200000,19208,93900,USA,1955
McDonald's,2021,40031,200000,23223,112500,USA,1955
McDonald's,2022,40275,150000,23183,118700,USA,1955
McDonald's,2023,41822,150000,25494,130400,USA,1955
McDonald's,2024,43000,150000,25920,135000,USA,1955
KFC,2015,20226,23000,1050,23600,USA,1952
KFC,2016,20574,23500,1100,24800,USA,1952
KFC,2017,22629,24000,1150,26800,USA,1952
KFC,2018,24104,24500,1200,28100,USA,1952
KFC,2019,24945,25000,1300,29600,USA,1952
KFC,2020,25823,24000,1200,27000,USA,1952
KFC,2021,26934,24500,1400,30200,USA,1952
KFC,2022,27581,25000,1500,32200,USA,1952
KFC,2023,29388,25500,1600,34600,USA,1952
KFC,2024,30000,26000,1700,36000,USA,1952
Starbucks,2015,23768,238000,19163,19163,USA,1971
Starbucks,2016,25085,254000,21316,21316,USA,1971
Starbucks,2017,27339,277000,22387,22387,USA,1971
Starbucks,2018,29324,291000,24720,24720,USA,1971
Starbucks,2019,31256,346000,26509,26509,USA,1971
Starbucks,2020,32660,349000,23518,23518,USA,1971
Starbucks,2021,33833,383000,29061,29061,USA,1971
Starbucks,2022,35711,402000,32250,32250,USA,1971
Starbucks,2023,38038,381000,35976,35976,USA,1971
Starbucks,2024,40199,385000,36180,36180,USA,1971
